Titulo,Año,Género,Idioma,País,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,Facebook Likes - Director,Facebook Likes - Actor 1,Facebook Likes - Actor 2,Facebook Likes - Actor 3,Facebook Likes - cast Total,Facebook likes - Movie,Facenumber in posters,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score
Intolerance: Love's Struggle Throughout the Ages ,1916,Drama|History|War,,USA,Not Rated,123,1.33,385907,,D.W. Griffith,Lillian Gish,Mae Marsh,Walter Long,204,436,22,9,481,691,1,10718,88,69,8
Over the Hill to the Poorhouse ,1920,Crime|Drama,,USA,,110,1.33,100000,3000000,Harry F. Millarde,Stephen Carr,Johnnie Walker,Mary Carr,0,2,2,0,4,0,1,5,1,1,4.8
The Big Parade ,1925,Drama|Romance|War,,USA,Not Rated,151,1.33,245000,,King Vidor,John Gilbert,Renée Adorée,Claire Adams,54,81,12,6,108,226,0,4849,45,48,8.3
Metropolis ,1927,Drama|Sci-Fi,German,Germany,Not Rated,145,1.33,6000000,26435,Fritz Lang,Brigitte Helm,Gustav Fröhlich,Rudolf Klein-Rogge,756,136,23,18,203,12000,1,111841,413,260,8.3
Pandora's Box ,1929,Crime|Drama|Romance,German,Germany,Not Rated,110,1.33,,9950,Georg Wilhelm Pabst,Louise Brooks,Francis Lederer,Fritz Kortner,21,426,20,3,455,926,1,7431,84,71,8
The Broadway Melody ,1929,Musical|Romance,English,USA,Passed,100,1.37,379000,2808000,Harry Beaumont,Anita Page,Bessie Love,Charles King,4,77,28,4,109,167,8,4546,71,36,6.3
Hell's Angels ,1930,Drama|War,English,USA,Passed,96,1.2,3950000,,Howard Hughes,Jean Harlow,Marian Marsh,James Hall,177,431,12,4,457,279,1,3753,53,35,7.8
A Farewell to Arms ,1932,Drama|Romance|War,English,USA,Unrated,79,1.37,800000,,Frank Borzage,Gary Cooper,Helen Hayes,Adolphe Menjou,57,998,164,99,1284,213,1,3519,46,42,6.6
42nd Street ,1933,Comedy|Musical|Romance,English,USA,Unrated,89,1.37,439000,2300000,Lloyd Bacon,Ginger Rogers,Dick Powell,George Brent,24,610,105,45,995,439,2,7921,97,65,7.7
She Done Him Wrong ,1933,Comedy|Drama|History|Musical|Romance,English,USA,Approved,66,1.37,200000,,Lowell Sherman,Mae West,Gilbert Roland,Louise Beavers,16,418,85,28,583,328,1,4152,59,35,6.5
It Happened One Night ,1934,Comedy|Romance,English,USA,Unrated,65,1.37,325000,,Frank Capra,Claudette Colbert,Alan Hale,Walter Connolly,964,380,114,21,540,0,1,64888,235,124,8.2
Top Hat ,1935,Comedy|Musical|Romance,English,USA,Approved,81,1.37,609000,3000000,Mark Sandrich,Ginger Rogers,Edward Everett Horton,Eric Blore,10,610,172,23,824,1000,2,13269,98,66,7.8
